DateID,FullDate,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,GermanDayNameOfWeek,DayNameofWeekAbbr,MonthNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,GermanMonthName,MonthNameAbbr,CalendarYear,CalendarQuarter,CalendarSemester
20010101,2001-01-01,1,Monday,Lunes,Lundi,Montag,Mon,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010102,2001-01-02,2,Tuesday,Martes,Mardi,Dienstag,Tue,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010103,2001-01-03,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010104,2001-01-04,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010105,2001-01-05,5,Friday,Viernes,Vendredi,Freitag,Fri,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010106,2001-01-06,6,Saturday,Sábado,Samedi,Samstag,Sat,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010107,2001-01-07,7,Sunday,Domingo,Dimanche,Sonntag,Sun,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010108,2001-01-08,1,Monday,Lunes,Lundi,Montag,Mon,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010109,2001-01-09,2,Tuesday,Martes,Mardi,Dienstag,Tue,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010110,2001-01-10,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010111,2001-01-11,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010112,2001-01-12,5,Friday,Viernes,Vendredi,Freitag,Fri,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010113,2001-01-13,6,Saturday,Sábado,Samedi,Samstag,Sat,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010114,2001-01-14,7,Sunday,Domingo,Dimanche,Sonntag,Sun,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010115,2001-01-15,1,Monday,Lunes,Lundi,Montag,Mon,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010116,2001-01-16,2,Tuesday,Martes,Mardi,Dienstag,Tue,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010117,2001-01-17,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010118,2001-01-18,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010119,2001-01-19,5,Friday,Viernes,Vendredi,Freitag,Fri,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010120,2001-01-20,6,Saturday,Sábado,Samedi,Samstag,Sat,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010121,2001-01-21,7,Sunday,Domingo,Dimanche,Sonntag,Sun,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010122,2001-01-22,1,Monday,Lunes,Lundi,Montag,Mon,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010123,2001-01-23,2,Tuesday,Martes,Mardi,Dienstag,Tue,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010124,2001-01-24,3,Wednesday,Miércoles,Mercredi,Mittwoch,Wed,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010125,2001-01-25,4,Thursday,Jueves,Jeudi,Donnerstag,Thu,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010126,2001-01-26,5,Friday,Viernes,Vendredi,Freitag,Fri,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010127,2001-01-27,6,Saturday,Sábado,Samedi,Samstag,Sat,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010128,2001-01-28,7,Sunday,Domingo,Dimanche,Sonntag,Sun,1,January,Enero,Janvier,Januar,Jan,2001,1,1
20010129,2001-01-29,1,Monday,Lunes,Lundi,Montag,Mon,1,January,Enero,Janvier,Januar,Jan,2001,1,1
